time;T_C;W_raw_kg
2026-08-11T03:07:28Z;21.0;22.12
2026-08-11T03:11:44Z;21.0;22.12
2026-08-11T03:16:01Z;21.0;22.1
2026-08-11T03:20:17Z;21.0;22.12
2026-08-11T03:24:33Z;21.0;22.11
2026-08-11T03:28:50Z;21.0;22.1
2026-08-11T03:33:06Z;21.0;22.1
2026-08-11T03:37:23Z;21.0;22.11
2026-08-11T03:41:39Z;21.0;22.13
2026-08-11T03:45:56Z;21.0;22.11
2026-08-11T03:50:12Z;21.0;22.11
2026-08-11T03:54:29Z;21.0;22.11
2026-08-11T03:58:45Z;21.0;22.11
2026-08-11T04:03:02Z;21.0;22.11
2026-08-11T04:07:18Z;21.0;22.12
2026-08-11T04:11:34Z;21.0;22.11
2026-08-11T04:15:51Z;21.0;22.11
2026-08-11T04:20:07Z;21.0;22.12
2026-08-11T04:24:24Z;21.0;22.1
2026-08-11T04:28:40Z;21.0;22.11
2026-08-11T04:32:57Z;21.0;22.12
2026-08-11T04:37:13Z;21.0;22.13
2026-08-11T04:41:29Z;21.0;22.11
2026-08-11T04:45:46Z;21.0;22.11
2026-08-11T04:50:03Z;21.0;22.13
2026-08-11T04:54:19Z;21.0;22.12
2026-08-11T04:58:35Z;21.0;22.13
2026-08-11T05:02:53Z;21.0;22.13
2026-08-11T05:07:09Z;21.0;22.13
2026-08-11T05:11:25Z;21.0;22.11
2026-08-11T05:15:42Z;21.0;22.12
2026-08-11T05:19:59Z;21.0;22.13
2026-08-11T05:24:15Z;21.0;22.11
2026-08-11T05:28:31Z;21.0;22.11
2026-08-11T05:32:48Z;21.0;22.13
2026-08-11T05:37:04Z;21.0;22.11
2026-08-11T05:41:21Z;21.0;22.11
2026-08-11T05:45:37Z;21.0;22.11
2026-08-11T05:49:54Z;21.0;22.13
2026-08-11T05:54:10Z;21.5;22.11
2026-08-11T05:58:26Z;21.5;22.11
2026-08-11T06:02:43Z;21.5;22.11
2026-08-11T06:07:00Z;21.5;22.11
2026-08-11T06:11:16Z;21.5;22.12
2026-08-11T06:15:33Z;21.5;22.11
2026-08-11T06:19:49Z;21.5;22.11
2026-08-11T06:24:06Z;21.5;22.1
2026-08-11T06:28:22Z;21.5;22.11
2026-08-11T06:32:38Z;21.5;22.11
2026-08-11T06:36:55Z;21.5;22.1
2026-08-11T06:41:11Z;21.5;22.11
2026-08-11T06:45:28Z;22.0;22.1
2026-08-11T06:49:44Z;21.5;22.1
2026-08-11T06:54:01Z;22.0;22.11
2026-08-11T06:58:17Z;22.0;22.12
2026-08-11T07:02:34Z;22.0;22.11
2026-08-11T07:06:50Z;22.0;22.12
2026-08-11T07:11:06Z;22.0;22.1
2026-08-11T07:15:23Z;22.0;22.1
2026-08-11T07:19:39Z;22.5;22.13
2026-08-11T07:23:56Z;22.5;22.11
2026-08-11T07:28:12Z;22.5;22.11
2026-08-11T07:32:29Z;22.5;22.09
2026-08-11T07:36:45Z;22.5;22.09
2026-08-11T07:41:01Z;22.5;22.11
2026-08-11T07:45:18Z;23.0;22.1
2026-08-11T07:49:34Z;23.0;22.09
2026-08-11T07:53:51Z;23.0;22.09
2026-08-11T07:58:07Z;23.0;22.08
2026-08-11T08:02:24Z;23.0;22.08
2026-08-11T08:06:40Z;23.0;22.08
2026-08-11T08:10:56Z;23.5;22.1
2026-08-11T08:15:13Z;23.5;22.1
