Timestamp(ms),Current(uA)
1356870,8547.260
1356880,8519.204
1356890,8485.559
1356900,8536.877
1356910,8546.558
1356920,8553.005
1356930,8542.522
1356940,8552.668
1356950,8507.566
1356960,8452.880
1356970,8574.956
1356980,8537.810
1356990,8591.211
1357000,8542.220
1357010,8547.576
1357020,8593.604
1357030,8578.498
1357040,8564.554
1357050,8525.979
1357060,8565.302
1357070,8515.566
1357080,8483.949
1357090,8508.436
1357100,8487.051
1357110,8589.921
1357120,8515.715
1357130,8565.618
1357140,8543.572
1357150,8437.937
1357160,8520.784
1357170,8569.574
1357180,8566.389
1357190,8571.705
1357200,8519.874
1357210,8534.464
1357220,8605.229
1357230,8512.953
1357240,8498.910
1357250,8608.583
1357260,8598.369
1357270,8626.733
1357280,8610.472
1357290,8604.563
1357300,8569.776
1357310,8520.021
1357320,8450.366
1357330,8470.548
1357340,8480.206
1357350,8494.627
1357360,8481.589
1357370,8435.153
1357380,8599.051
1357390,8551.923
1357400,8496.048
1357410,8514.255
1357420,8490.487
1357430,8582.387
1357440,8470.402
1357450,8556.907
1357460,8456.621
1357470,8506.040
1357480,8486.928
1357490,8542.900
1357500,8628.502
1357510,8542.165
1357520,8511.613
1357530,8480.043
1357540,8537.850
1357550,8520.686
1357560,8475.976
1357570,8448.856
1357580,8491.250
1357590,8529.639
1357600,8577.434
1357610,8541.351
1357620,8565.565
1357630,8582.453
1357640,8600.066
1357650,8579.165
1357660,8531.921
1357670,8516.547
1357680,8484.430
1357690,8479.754
1357700,8529.616
1357710,8571.755
1357720,8611.284
1357730,8654.452
1357740,8580.260
1357750,8581.457
1357760,8526.393
1357770,8470.851
1357780,8540.104
1357790,8495.107
1357800,8464.131
1357810,8589.908
1357820,8538.829
1357830,8628.275
1357840,8576.680
1357850,8481.455
1357860,8515.731
1357870,8492.368
1357880,8462.430
1357890,8532.063
1357900,8516.709
1357910,8490.972
1357920,8562.638
1357930,8535.135
1357940,8528.362
1357950,8542.538
1357960,8461.928
1357970,8608.858
1357980,8569.917
1357990,8555.900
1358000,8572.759
1358010,8550.795
1358020,8449.305
1358030,8486.791
1358040,8559.385
1358050,8566.698
1358060,8583.532
1358070,8483.059
1358080,8475.213
1358090,8583.455
1358100,8552.189
1358110,8577.673
1358120,8548.242
1358130,8543.718
1358140,8497.997
1358150,8556.540
1358160,8559.054
1358170,8547.403
1358180,8451.308
1358190,8630.585
1358200,8574.737
1358210,8524.832
1358220,8566.224
1358230,8529.644
1358240,8555.209
1358250,8523.988
1358260,8566.961
1358270,8529.021
1358280,8573.604
1358290,8540.196
1358300,8553.916
1358310,8494.648
1358320,8495.356
1358330,8505.744
1358340,8560.063
1358350,8563.023
1358360,8595.423
1358370,8558.541
1358380,8570.100
1358390,8587.250
1358400,8540.349
1358410,8588.180
1358420,8544.723
1358430,8846.563
1358440,9217.961
1358450,11050.332
1358460,11901.312
1358470,12225.661
1358480,12365.505
1358490,12444.391
1358500,12499.062
1358510,12536.423
1358520,12567.749
1358530,12358.972
1358540,12177.587
1358550,12102.377
1358560,12059.942
1358570,12070.008
1358580,12102.292
1358590,12130.596
1358600,12149.965
1358610,12173.922
1358620,12203.869
1358630,12193.081
1358640,12102.898
1358650,12068.986
1358660,12050.008
1358670,12040.388
1358680,12039.648
1358690,12039.112
1358700,12052.525
1358710,12069.407
1358720,12111.705
